"","Year","Habitat_plant","Sample_code","Sample_code_by_core","depth","label","Tsoil","pH","GPS","site","habitat","WTD","ALD"
"2014_E_1_20_24","2014","FEN","core_1","2014_E_1_20_24","20_24","E","16.5","5.1","N 68 21.1992, E 19 02.8063","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2014_E_1_30_34","2014","FEN","core_1","2014_E_1_30_34","30_34","E","15.8","5.3","N 68 21.1992, E 19 02.8063","Eriophorum Autochamber Site","Fen","0.0","Below Detection (>100)"
"2014_E_2_1_5","2014","FEN","core_2","2014_E_2_1_5","1_5","E","14.8",NA,"N 68 21.1959, E 19 02.7992","Eriophorum Autochamber Site","Fen","Not Measured","Below Detection (>100)"
"2014_E_2_10_14","2014","FEN","core_2","2014_E_2_10_14","10_14","E","13.8",NA,"N 68 21.1959, E 19 02.7992","Eriophorum Autochamber Site","Fen","Not Measured","Below Detection (>100)"
"2014_E_2_20_24","2014","FEN","core_2","2014_E_2_20_24","20_24","E","12.6",NA,"N 68 21.1959, E 19 02.7992","Eriophorum Autochamber Site","Fen","Not Measured","Below Detection (>100)"
"2015_P_1_1_5","2015","PALSA","core_1","2015_P_1_1_5","1_5","P","11.7",NA,"N 68 21.206, E 19 02.831","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2015_P_1_10_14","2015","PALSA","core_1","2015_P_1_10_14","10_14","P","10.2",NA,"N 68 21.206, E 19 02.831","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2015_P_1_20_24","2015","PALSA","core_1","2015_P_1_20_24","20_24","P","6.4",NA,"N 68 21.206, E 19 02.831","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2015_P_1_30_34","2015","PALSA","core_1","2015_P_1_30_34","30_34","P","1.8",NA,"N 68 21.206, E 19 02.831","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2015_P_2_1_5","2015","PALSA","core_2","2015_P_2_1_5","1_5","P","12.6",NA,"N 68 21.2069, E 19 02.8361","Palsa Autochamber Site","Palsa","Not Measured","38.0"
"2015_P_2_10_14","2015","PALSA","core_2","2015_P_2_10_14","10_14","P","9.4",NA,"N 68 21.2069, E 19 02.8361","Palsa Autochamber Site","Palsa","Not Measured","38.0"
"2015_P_2_20_24","2015","PALSA","core_2","2015_P_2_20_24","20_24","P","5.6",NA,"N 68 21.2069, E 19 02.8361","Palsa Autochamber Site","Palsa","Not Measured","38.0"
"2015_P_2_30_34","2015","PALSA","core_2","2015_P_2_30_34","30_34","P","3.1",NA,"N 68 21.2069, E 19 02.8361","Palsa Autochamber Site","Palsa","Not Measured","38.0"
"2015_P_3_1_5","2015","PALSA","core_3","2015_P_3_1_5","1_5","P","13.2",NA,"N 68 21.2085, E 19 02.8370","Palsa Autochamber Site","Palsa","Not Measured","38.5"
"2015_P_3_10_14","2015","PALSA","core_3","2015_P_3_10_14","10_14","P","10.9",NA,"N 68 21.2085, E 19 02.8370","Palsa Autochamber Site","Palsa","Not Measured","38.5"
"2015_P_3_20_24","2015","PALSA","core_3","2015_P_3_20_24","20_24","P","6.5",NA,"N 68 21.2085, E 19 02.8370","Palsa Autochamber Site","Palsa","Not Measured","38.5"
